variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper
const,18004.18880138342,5334.372214024213,3.3751279586471132,0.0007381266787127745,7548.870142610118,28459.507460156725
price,-358.1986590155839,255.93617462485295,-1.3995624477103545,0.16164784791506423,-859.8311200904386,143.43380205927082
required_age,18360.86064402646,1999.6092191966904,9.18222444053475,4.3093224280140206e-20,14441.645647225454,22280.075640827465
dlc_count,-3.764450155200581,217.9959635619281,-0.01726843971645915,0.9862225017560196,-431.034459430925,423.50555912052386
metacritic_score,4175.034746395629,248.2447615397241,16.81821892433988,2.246104536210513e-63,3688.477381604806,4661.592111186451
achievements,22.338201402266552,20.46086514206593,1.0917525357391153,0.2749448223354838,-17.764899114804937,62.441301919338045
recommendations,-76.73363190747618,0.46100666320782824,-166.44798878510696,0.0,-77.63720057015476,-75.8300632447976
user_score,-195.47939062456575,2067.6446689499703,-0.09454206206709478,0.9246787827696545,-4248.0432200011055,3857.0844387519737
positive,141.82720597737662,0.8213649885331883,172.6725730428987,0.0,140.21733843425747,143.43707352049577
negative,216.2566988724152,1.422359225403196,152.04084524506314,0.0,213.46888835747973,219.04450938735067
average_playtime_forever,14.03039330691138,1.4510428979996712,9.66917885491388,4.1790949652998484e-22,11.18636306727959,16.87442354654317
average_playtime_2weeks,700.1563631107366,91.61165757200021,7.642655767476577,2.148902424814571e-14,520.5983880868856,879.7143381345876
median_playtime_forever,-11.717384141109466,1.106229663498808,-10.59218038327544,3.357362878670929e-26,-13.885583730043344,-9.54918455217559
median_playtime_2weeks,-521.0630829939217,86.21144615631191,-6.044012787457138,1.509186253829721e-09,-690.0366951517303,-352.08947083611315
discount,-179.6582683574864,203.6070270388112,-0.8823775434982423,0.3775750426979335,-578.7260992935487,219.40956257857596
peak_ccu,-23.876492176729762,1.1709620364417472,-20.39049211986777,3.292533854483217e-92,-26.171566599196566,-21.581417754262958
pct_pos_total,130.93427334971682,86.22172639124588,1.5185763360336824,0.12887269972612214,-38.05948797050661,299.92803466994025
num_reviews_total,-80.8659509078128,0.7622215432504894,-106.09244992336535,0.0,-82.35989786230435,-79.37200395332125
pct_pos_recent,4429.2467359827415,165.33819148229554,26.78901163895352,1.819410732451441e-157,4105.185457718736,4753.308014246747
num_reviews_recent,76.2956200936882,15.05252911008785,5.068624650096619,4.014957099516543e-07,46.79280661309229,105.7984335742841
